english,chinese,example,note,source
a bit of everything,各种情况都有一点,说明问题存在，但并非整体崩坏,,09-23 移民/无家可归
a deep love for,对……的深厚热爱,have a deep love for their own language,固定搭配,09-22 梦境/正式英语
a package deal,一揽子方案,强调综合解决，而非单一措施,,09-23 移民/无家可归
a pocket of,一小片/局部的,pockets of seething anger,,09-24 移民/完形复盘
a shelter,收容所、避难所,无家可归语境优先选 shelter,,09-23 移民/无家可归
a vast array of,大量的、各式各样的,a vast array of goods,,09-23 移民/无家可归；09-24 移民/完形复盘
abandon,抛弃；放弃,clients are going to abandon me,abandon sb/sth,09-20 反智/经济放缓
absorption into,吸收/融入……,,absorption of immigrants into society,09-24 移民/完形复盘
acknowledge,承认,McWhorter acknowledges...,acknowledge that,09-22 梦境/正式英语
acquire,获得；习得,acquire abilities/knowledge,≈ gain/obtain,09-20 反智/经济放缓
acquisition,收购；取得,continuing acquisition,acquire v.,Day5 铁路/医疗
address the needs/problems,处理、解决需求/问题,address 在此不是“地址”，而是“应对”,,09-23 移民/无家可归
admiration,钦佩,admiration for their memory,admire v.,09-22 梦境/正式英语
admission,准许进入；入场；承认,gain admission to; admission to a university,与 consent 区分：admission 可指“准入/录取”；consent 是“同意”。；此处=承认,Day4 情报/动物实验；09-20 反智/经济放缓
advisory,咨询的；顾问的,advisory service,,Day6 求职/字母偏见
advocate of,……的倡导者,an advocate of regular schooling,advocate v./n.,09-20 反智/经济放缓
aggravate,加剧；恶化,aggravates the former,≈ worsen,09-21 公平/气候/嗅觉
aggravation,加重；恶化,,aggravation in the unconscious mind,09-22 梦境/正式英语
aggressive treatment,积极/强力治疗,too aggressive treatment,医疗语境并非“攻击性”,Day5 铁路/医疗
all those years when...,那些年……的时候,all those years when scientists argued...,用于回顾长期争议,09-21 公平/气候/嗅觉
all too human,太有人性了；非常典型的人类表现,regarded as all too human,all too = 太过于、非常,09-21 公平/气候/嗅觉
allow for,考虑到；允许；为……留余地,allow for reductions,≈ take into account,Day5 铁路/医疗
along with,连同；和……一起,A along with B,谓语常随 A,09-21 公平/气候/嗅觉
alphabetism,按字母顺序造成的偏见/歧视,alphabetical bias,文章自造/主题词,Day6 求职/字母偏见
Although / Now that / Provided / Except that,Although=尽管；Now that=既然；Provided=只要；Except that=只是/除了这一点。,,,09-24 移民/完形复盘
an array of,一系列；大量,an entertaining array of examples,array of + 复数名词,09-22 梦境/正式英语
another,另一个,one type ... but not another,与 other/the other 区分,09-21 公平/气候/嗅觉
anti-smoking lobby,反吸烟游说团体,the antismoking lobby,lobby 可指游说集团,09-21 公平/气候/嗅觉
anxiety (about),焦虑；担忧,anxiety about animal rights,anxious(adj.) → anxiety(n.)。,Day4 情报/动物实验
anything but,绝非；根本不是,they are anything but a counterbalance,不是“除了任何东西”,09-20 反智/经济放缓
applicable to,适用于,be applicable to the former,apply v.,09-21 公平/气候/嗅觉
appreciation,欣赏；认可,appreciation of their efforts,appreciate v.,09-22 梦境/正式英语
apprehensive,忧虑的；担心的,shippers are apprehensive,≈ worried / anxious；be apprehensive about,Day5 铁路/医疗
approval / disapproval,赞同 / 不赞同,,strong disapproval,Day5 铁路/医疗
arbitrator / arbiter,仲裁者；裁决者,act as arbiters,题目里常指“裁判/裁决者”,Day5 铁路/医疗
argue that,主张；论证说,scientists argued that smoking would kill us,argue 不一定是“争吵”,09-21 公平/气候/嗅觉
around / over / on / up,turn one’s life around=扭转生活；turn over=翻转/营业额；turn on=打开；turn up=出现/调大。,,,09-24 移民/完形复盘
as if,仿佛；好像,as if + 从句,方式/假设,09-21 公平/气候/嗅觉
as sb puts it,正如某人所说,put = 表述、说,,09-23 移民/无家可归
as sb. puts it,正如某人所说,puts = 表述,,09-24 移民/完形复盘
aside from,除……之外,aside from = apart from,排除/补充,09-21 公平/气候/嗅觉
aspire to,渴望；追求,aspire to such command,aspire to do / aspire to sth,09-22 梦境/正式英语
assimilating,同化、吸收,,本篇 homogenizing 的近义项,09-24 移民/完形复盘
assimilation,同化；融入,indices of assimilation：同化指标,,09-23 移民/无家可归；09-24 移民/完形复盘
assist,帮助、援助,finding ways to assist this population,,09-23 移民/无家可归；09-24 移民/完形复盘
assist / track / sustain / dismiss,assist=帮助；track=追踪；sustain=维持；dismiss=不予考虑/解雇,,,09-23 移民/无家可归
associating,联系、使有关联,,associate A with B,09-24 移民/完形复盘
assumption,假设；假定,justify an assumption,assume v.,09-21 公平/气候/嗅觉
at all,根本；完全,not ... at all,程度强调,09-21 公平/气候/嗅觉
at best,充其量；最好也不过,seem wasteful at best,与 at worst 成对记。,Day4 情报/动物实验
at first,起初,"at first, ...",时间,09-21 公平/气候/嗅觉
at large,总体上；在逃,public at large,固定搭配,09-21 公平/气候/嗅觉
at least,至少,seem to be at least within our control,at least + 数量/程度,09-22 梦境/正式英语
at times,有时,at times = sometimes,频率,09-21 公平/气候/嗅觉
at unprecedented levels,达到前所未有的水平,immigration is neither at unprecedented levels…,,09-23 移民/无家可归
at worst,最坏的情况下,cruel at worst,at best ... at worst ... 常用于评价范围。,Day4 情报/动物实验
athlete,运动员,heroes are athletes,与 scholar 对比形成语境,09-20 反智/经济放缓
atmospheric / oceanic,大气的 / 海洋的,atmospheric and oceanic research,学术主题词,09-21 公平/气候/嗅觉
authenticity,真实感；真实性,ethic of authenticity,authentic adj.,09-22 梦境/正式英语
available,可获得的；可用的,available information,availability,09-21 公平/气候/嗅觉
awaken,醒来；唤醒,as soon as you awaken,正式程度高于 wake up,09-22 梦境/正式英语
awaken sb to,使某人意识到,awaken us to the growing threat,≈ alert sb to,09-21 公平/气候/嗅觉
ballot,投票；选票,ballot papers,election 语境,Day6 求职/字母偏见
barely,仅仅；勉强；几乎不,barely enough; barely manage to do,≈ hardly/scarcely；本身含否定意味。,Day4 情报/动物实验
base ... on,以……为基础,base important policies on the best judgments,be based on,09-21 公平/气候/嗅觉
be absorbed into,被吸收进；融入,be absorbed into a culture of consumption,,09-23 移民/无家可归；09-24 移民/完形复盘
be addicted to,对……上瘾,alcohol or drugs,,09-24 移民/完形复盘
be exposed to,暴露于；接触,be exposed to smells,exposure n.,09-21 公平/气候/嗅觉
be left to,留给……处理,this process need not be left to the unconscious,leave sth to sb,09-22 梦境/正式英语
be modified in their courses,在发展过程中可以被改变,,modify=修改；course=过程/进程,09-22 梦境/正式英语
be occupied,被占据；忙于,our conscious mind is occupied,occupied with/by,09-22 梦境/正式英语
be out to do,企图；一心想做,was out to destroy our way of life,常带贬义,09-21 公平/气候/嗅觉
be resistant to,抵制；对……有抗拒性,resistant to assimilation,,09-23 移民/无家可归；09-24 移民/完形复盘
be responsible for,对……负责；导致,responsible for the decline,cause 语境,09-22 梦境/正式英语
be subjected to,遭受；经受,be subjected to tests,被动高频,09-21 公平/气候/嗅觉
be susceptible to,易受……影响,,susceptible to emotional changes,09-22 梦境/正式英语
